filename,occlusion_level,smolvlm_caption,reference_caption
test_409.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Bathroom with toilet and sink.",A white toilet sits next to a white wall. There is a white sink on the wall. The tile on the floor is black and white. 
test_563.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Picture of a train in a field with trees and clouds in the sky.",A train is traveling on the railway track that is up on a small hill. The train is dark gray and light gray colors with yellow on its front. The hill has dry yellow as well as green grass. Next to the hill is a fence with wooden posts and green plants are growing on that side of the fence. There are also some green trees. There are some white clouds in the sky.
test_597.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Man with glasses in suit with colorful background.",The man in the picture is wearing a tie. That is black with pictures on it. The picture is of Santa Claus and a snowman. But I also have snow drawing on it. The man is wearing a white button down shirt. He is also wearing a dark-colored blazer. The man has gray hair. The man is wearing silver glasses. The wall behind the man is a green color.
test_917.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: The image is a photo of two zebras standing on a field with trees in the background.",Some of the trees in the distance are have green leaves while most of the them do not have leaves and are brown. There is fence in the distance as well. The grass in the photo is brown and is low. There are two large black and white zebras standing in the brown grass field. The zebra closest tot the camera is grazing on the brown grass. 
test_105.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: An image of a train with a person on it.",a train is waiting on  track. the train is very bright and is yellow in color. there is a smaller train next to it. a man is riding on the smaller train. the small train is red and black. it has its own set of tracks.
test_662.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: The image is a photograph of a ski slope. The slope is covered in snow and there are trees on either side of the slope. There is a ski lift on the left side of the image.","A ski life is filled with several people, and it is riding high above a snow filled mountain. The ground is covered in snow and batches of thin  leave less tress are scattered about on the mountain. The lift is riding on wires attached to sturdy large dark green poles. A few small evergreen trees are also scattered about on the mountain, under and opposite the lift. The poles are casting a shadow on the ground, and it is a bright sunny day with a deep blue sky."
test_639.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: A person is standing in front of a fence.",A man stands in a snow covered field while holding a hose. There are two horses in front of the man with the hose. There is a fence in front of the man with the hose. The sky above the scene is gray and cloudy. There are large buckets near the horses. There is a forest off in the distance behind the horses. The hose is yellow. 
test_556.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Image contains cows and a field of flowers.","Black and white cows are lined up at a feeding station in a green field. The line up shows seven cow rumps and no heads, but the eighth cow is turned, looking at the camera. A farmer is in a green tractor in the distance, directly behind the feeding area. Bushes are to the left, behind the cows. The one cow with a visible face has yellow id tags in her ears. "
test_612.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: A woman is sitting in a bus.",A woman is sitting in the drivers seat of a vehicle.  The woman has long red hair and is wearing dark sunglasses.  The woman is parked in front of a large camel.  The camel is standing still on top of some grass.  A person in the back seat is holding a camera in their hands filming the camel .  The hands have a watch on the wrist.  The windshield of the vehicle has two black windshield wipers on it.
test_787.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Giraffe standing in front of river with trees in background.",There is a dirt road. Across the dirt road there is green trees that are tall and some have fallen onto the ground. In the fore forefront of the photo there are two giraffes. They are tan and brown have they both have two small horns on top of their head. They are playing in the sand. There is no vegetation on this side of the road. 
test_104.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Green and purple with black squares.","There is a rectangular parachute in the top right of the image. The parachute is printed with what looks like a television channel 'stand-by' pattern. The sky behind the parachute is a deep blue color. There are some wispy clouds close to the ground. A person is looking into the distance from the ground with their hand shielding their eyes from the sun. This person is wearing a dark t-shirt and what looks to be denim shorts. It is difficult to ascertain the gender of this person, but they are probably male. The ground is sandy and covered in grey rocks and pebbles. Green grass and woodlands lie behind the sandy ground, and some low buildings or houses can be seen in the distance (lower right corner of the frame)."
test_790.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Image shows a lake with a bird on it.","This is an outdoor image of a bird sitting on a cobblestone balcony.The bird is small,he has a long sharp pointy black beak,grey feathers,and a blue tail with white lines.Next to he bird is beige crumpled up rocks that are going down a hill.On the side of the rocks,there is a small patch of grass that appears to be about eight inches long."
test_759.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: The image is a colorful collage of various food items and objects, including a plate with a salad, a cup of coffee, and a slice of pizza. The salad is composed of lettuce, tomatoes, and other vegetables, and is placed on a blue plate. The coffee cup is filled with a dark liquid, likely coffee, and is placed next to the plate. The pizza is partially visible, with",A round plate with food is sitting on a wooden surface. A square piece of flat bread is on the plate. On top of the bread is an orange sauce. A pile of greens are on top of the bread. A fork is sitting face down on the plate. Next to the plate is 2 pieces of sliced lemon. There are several seeds in the lemons pieces. There is a coffee cup of next to the plate and the lemons. The cup is filled with a brown beverage.
test_59.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Photograph of a gold and green device with a label on it.",A black parking meter with a white sign on it. There is a car parked in front of the parking meter. There is a shadow of a tree on top of the car. 
test_623.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Street with cars and trucks and a sign for outlets.",The bus is making a right turn at the corner. There are stripes on the side of the bus. The bus is mostly white. The windows are black. There is a silver car by the bus. There is a pole above the bus. There is a traffic light on the pole. There is a colorful sign by the bus. There are many trees by the side of the road. There are many cars on the road. The sky is bright and blue.
test_894.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Doorway with squares.",A building has a large arch above the doorway. There are windows under the arch and above the doors. The doors themselves are gray and have panels in them. There are two doors. In front of the doors is a bench that has wooden slats. There are gray pipes on each side of the doorway. The building and doorway are made of red brick.
test_606.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Picture of a table with a bunch of objects on it and a wall in the background.",A picture of odd wooden shapes on the ground. There is a large framed mirror behind the objects. The floor under the objects is made out of wood. There are brown nail marks in the wooden floor boards. The wall next to the mirror is white. The wall above the mirror is brown. The floor in the reflection is shiny. 
test_489.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Picture of a train station with a train in it.",Two vintage trains cars are on display behind ropes.  The train cars have information signs on poles in front of them.  The car on the left is red and has DD1631 on the front.  The right car has a back door and blue chairs can be seen inside on it.  There are lights on inside left car.  The trains are indoors and there is a low ceiling above it.
test_636.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Vase of flowers with black squares in background.",A vase sits on top of a white surface. The vase is half filled up with a clear liquid. The vase has long green stems placed inside of the clear liquid. There are yellow flowers on top of the long green stems. The room the vase with flowers is in is white. There are red spots on the yellow flowers. The wall behind the flowers is white.
test_816.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: The bear shop has a colorful window.",This is a toy shop. The shop has lots of stuffed animals. The stuffed animals are bears. There are many teddy bears in the window display. The bears are various different colors. The window is framed white. The letters on the window are red with a white and blue border on them. The bear in the front of the window has a red scarf on it.
test_329.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Bathroom with tub and wall with black squares.",The room is being finished. There are bare walls. There is no sheetrock. The bath tub is white. It is just sitting in place. The wood beams are thin. 
test_575.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Picture of woman holding tennis racket in front of bushes and trees.",A woman is standing in the middle of a concrete path crouching and holding a tennis racket as she poses for the camera.  She has short blonde hair and is wearing a short-sleeved button-up light blue shirt and a dark blue denim skirt that falls to her knees.  She is wearing black thong sandals and has red painted toenails.  The path is long and winding as it stretches between two areas of dense green shrubbery lining each side.
test_871.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Image shows a man in uniform standing in front of a bus.","A orange,blue and red train is sitting on some tracks and next to the tracks is a pile of trash on the ground.Some flowerpots is sitting near the trash. People are sitting on chairs Just behind the pile of trash. A man standing near the tracks is wearing a brown uniform hat, shirt and pants and he is holding a red flag in one hand and a green flag in his other hand. There are some children standing near the tracks behind him."
test_531.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Picture of a bull with a lot of different colors.",Two light brown cows stand on a muddy path.  They have horns on their heads.  There are several cows on the ground behind them.  There is a thatched roofed building in the back ground. The building behind it had a blue tarp on part of the roof.  The roofs of several structures can be seen in the background.
test_585.jpg,10,"User:<image>Without paragraphs describe the image in less words.
Assistant: Picture of ocean with beach and sky.",The image is of a seagull flying in the air in the direction of the west. The seagull in the air is white and its wings are spread open. There is another seagull on the ground. The ground is made of sand and the seagull is located near the shoreline of the water. There are waves in the water in front of the seagull on the ground. The clouds are gray and the sun is orange. The sun can be seen in the distance.
