filename,occlusion_level,predicted_caption,reference_caption
test_668.jpg,10, is a vase that has water in it. the water looks like ice. the vase is transparent. the water is blue and red. there,A soft drink bottle and a vase of flowers are on a tabletop. There is about one-fourth of the cola-colored drink left in the bottle. The vase has pink carnations and another the of pink flowers in it. There is another table against the wall behind the one in the foreground. That table has a salt shaker on it. There are two red chairs in front of it. Both tables are covered with turquoise plastic tablecloths. Hanging on the wall is a decorative Mexican sombrero.
test_877.jpg,10,The sky is blue and clear. There is a bike leaning against the curb on the sidewalk. There is a red fire hydrant on the sidewalk.,"A painting has a cat walking on a brick sidewalk in front of an apartment building that looks french. There is a brown dark shiny wood door to the left of the cat, and tall bushes, and plants growing on the sides. There is a bike next to the plants, and in between the two apartment doors. There is a black metal pole on a fence in between two cement pole."
test_769.jpg,10,Two dogs are playing with each other. One of the dogs is a dark brown color. The other dog is a lighter brown color. The grass around,A dog is seen very closely to the camera and through a clear object. The dog is a golden brown color and is standing in what appears to be the kitchen. The floor of the room is tiled with a beige and darker beige design going diagonally across the tiles. There is a wooden cabinet located directly behind the tail of the dog.
test_618.jpg,10,Two young men are playing tennis on a tennis court. One of the men is wearing a red short sleeve shirt and dark shorts. The other man is,Two men play tennis on a grey court.  The court is surrounded by a grey netting.  One man has a blue tee shirt.  The other man has a grey tee shirt.  There are two benches in the area.  Both men are wearing shorts.  Both men are holding rackets.  Yellow tennis balls are in the air.  There is a green covered area near the fence.
test_63.jpg,10,Three different types of food are displayed on a plate.  The bowl whites have powdered sugar on top.  The plate has a round white plate with,A plate with a colorful rim on it is sitting on a table. There is a piece of chicken on the plate with salad next to it. There is also a pile of french fries on the plate. 
test_178.jpg,10,The silhouette of a person standing next to a horse. The horse is black and white. There is a person standing next to the horse wearing a red,"A group of people is standing outside at an amusement park that looks like Six Flags as there are large roller coasters in the background. It looks like a nice day with a sunny sky and no clouds. The group consists of 6 men, most of whom appear to be on the spectrum from overweight to obese. Their ages appear to range from 45 - 70 years old. Three gentleman are standing in front and three others are standing in back. They are wearing laynards with colorful badges around their necks. Four guys are wearing glasses and one is wearing sunglasses. Most are in casual, vacation attire, except for one guy who is wearing a tie. There are a couple other people in the background who appear to be in in line for something."
test_429.jpg,10,Two young people are posing for a picture. The young people are both wearing eyeglasses. One of the young people is wearing a polka dot,"A woman walking is holding a golf pole. She is wearing a white visor, gray windbreaker, pink pants, and white shoes. Behind him is a man carrying a big gray umbrella. He is wearing a white vest, blue windbreaker and white shorts. Beside him is a thin yellow pole with a small yellow flag. The woman is holding a white golf ball in her hand."
test_491.jpg,10,Two young boys are posing for a picture outside on a sunny day. One of the boys is wearing a blue jacket and dark pants. The other boy,"A white topped surface is topped with several dozen long sheaves of wheat in the upper left hand corner of the image. In front of the wheat stands a small sign that says, ""Please Do Not Touch""  A larger sign in front of the wheat says ""Wheat Weaving."" Next to this sign is a spool of silver thread. In front of the spool of thread lies a pair of green handled scissors. Next to the scissors and in the foreground lie a couple of woven articles which look to be the same size as a bracelet. The wheat has been already fully woven in these."
test_116.jpg,10,Two young girls are posing for a picture outside on a sunny day. One of the girls is wearing a pink tank top and blue jean shorts.,A woman is wearing a dark colored shirt and skirt and is holding a tennis racket. There is another lady behind her swinging a tennis racket. They are standing on a blue tennis court.
test_505.jpg,10,Behind the curtain there are two people sitting at a table. The woman on the left is holding a white coffee mug in her hand. There is a,"Two women and a man are sitting in a living room of a home. The women are sitting in chairs and the man is sitting on a sofa. There are picture frames on the white walls in the room. Two windows are above the man, one of them is halfway covered up. There is a small black t.v. sitting on a large brown entertainment center."
test_22.jpg,10,The image is of a Southwest jet.  It is a passenger jet and it has two large engines.  The airplane is white with red and blue,There is a large white airplane that is in the sky. There is a silver fence under the airplane. There are light poles on both sides of a fence under the plane. 
test_718.jpg,10,The tennis court is orange. The tennis player is waiting to hit the ball. He is wearing white band on its head. He is holding his tennis,"There is a sandwich in a container. The container is a plastic tupperware container. The sandwich is made of untoasted slices of bread. There is a luncheon meat slice between the bread. There are slices of banana in the sandwich as well. On the counter, beside the container, is a banana that has been sliced into seven portions. "
test_470.jpg,10,a bunch of animals are on a big field. there is a big cloud in the blue sky. there is a big fluffy cloud in the blue sky,A group of sheep are standing outside. Two faces are showing. The upper part of the face is black and the mouth and snout is white. The horns are gray and curled towards the face. The wool is very thick and white. All the sheep are standing on hay that seems to be in damp dirt. Behind the sheep is very short green and yellowish grass. In the background are dark figures of trees and buildings. 
test_418.jpg,10, a person is jumping on a skateboard. the skateboard is black. the person is wearing all black. there is a cloud in the blue sky,"a young black man is jumping off of a skateboard, he is wearing a white tank top and blue jeans with green shoes. there is another white guy holding a skateboard watching dressed in a black shirt and pants. with one other black kid watching the both of them."
test_384.jpg,10,A dog is playing with a bottle of vitamin water.  The dos is white with a dark spot on its head.  It has a black p,"The dog is a husky. His nose is black. His fur is combination of white, beige and gray. There is a stuffed elephant toy on his head. The elephant is gray with white tusks. The dog is looking sad and lying on the carpeted floor. Behind the dog are the feet of brown chairs and table, they are made of wood. The dog has whiskers."
test_320.jpg,10,The house is made of brick. The house has rectangular windows. On the side of the house is a chimney made of bricks. The lawn is,There is a black steel fence with a white and black sign on the front of it. There is a yellow and orange building behind the fence. There is a brick building next to them. 
test_432.jpg,10,750GS of motorcycle are parked. The motorcycle is black. There is a bike rack on the side. The rack is made of metal. The bike,"A motorcycle is parked at the curb. It has a sharp looking features. The motorcycle has two boxes attached to it. The first one placed behind the seat, it is medium and black. The second box is beside the wheel. It has silver color in front and the rest is black. The handles of the the motorcycle is black. It also have plastic shield in the front."
test_327.jpg,10,A man is sitting at a table. The man is wearing a striped shirt. The man is holding a wine glass in his hand. There is a,A man is presenting a woman with some desert. There is some cheesecake and icecream with a candle. They are in a very nice restaurant and they are both smiling.
test_419.jpg,10,The house is made of red brick. There is a window in the house. There is a lamp next to the bed. There is a fan that,There is a brick building with a white glass door. There are two white chairs on the porch of the house. There is a gray cat sitting on the porch. There is grass in front of the porch. 
test_76.jpg,10,The sky is partly cloudy and mostly blue. There is a big bushy tree in the distance. There are people walking on the sidewalks in front of,"An old fashioned bus is seen on the street. The bus is red on the bottom and beige on the top. A chain link fence is on the right side of the bus, and behind the fence is a large green metal crane. The sky above is gray and cloudy."
test_74.jpg,10,There is a reflection on the building. There is a white door on the building. The door is being held open by a metal square box. There,"The vanity in this fancy, large bathroom is very long and is made of medium stained wood. The lighting above the vanity are three hanging, glass covered globes. The counter of the vanity has a sink as well as a vase filled with purple flowers. The walls are white and the tiles are all made of stone. The shower is also tiled with stone like tiles and is very large and open."
test_642.jpg,10,Two people are standing in front of a large pool of water. There is a white and brown dog in the water with its nose up to its mouth,A paper box sits on the table. There is a donut sitting in the box. The donut sits in the corner of the box. The donut has chocolate on the top. There is a plastic fork in the box. There is chocolate on the box. There is frosting on the box. there is plastic on the top of the box. The table is white. There is one box.
test_277.jpg,10,There is a bike leaning against the curb on the sidewalk. The bike is black. There is a red license plate on the side of the bike.,A bicycle is parked at a metal bicycle stand. There is a gold color lock attached to the bicycle stand. The bike is leaning onto the side of it. There is a black and gray bag attached to the bicycle. Behind the bicycle is a road with a large bus on it. The bus is white and blue and has an orange digital sign on the front.
test_262.jpg,10,There is a big shiny building next to the street. There is a big bus on the other side of the street. There are big buildings in front,a yellow taxi got into an accident. he hit a tree and crashed. there is a cop car next to him. The man is talking with the cop. there is a store right next to the accident.
test_621.jpg,10, is a flat screen television that is turned on. There is a desk with a computer monitor that is turned on. There is a black keyboard in front,A man sits down in a chair. The man is sitting in a room. There are many wires outside. There are many windows in the room. There are blinds on the windows. There are boats outside. There are many buildings outside. There are clouds in the sky. There is a tv in the room. The man's foot is in a chair. The buildings have many windows.
test_44.jpg,10,The sky is partly cloudy and mostly blue. There are whispy clouds in the cloud. There is a big boat sailing along carrying people. The,A bunch of planes are in formation in the air. One plane is way farther away from the rest. The sky is a pretty blue color and a couple of clouds are seen.
test_643.jpg,10,There is a big wave in the water. There is a person surfing in the water. The person is holding a surfboard. The person is wearing,A white polar beat is swimming inside of the water on his back with his belly facing up. He is white with gray markings on his fur. His mouth is open showing his teeth and it looks like he maybe smiling and enjoying himself swimming. The water is dark blue in color and the wave in the water appears to be white in color.
